DATE,PRODUCT_NAME,QUANTITY_SOLD,PRICE,REVENUE
2025-12-01,Mobile Charger,15,250,3750
2025-12-01,Earphones,22,450,9900
2025-12-01,Phone Case,18,180,3240
2025-12-01,Screen Guard,25,120,3000
2025-12-01,Power Bank,8,1200,9600
2025-12-02,Mobile Charger,18,250,4500
2025-12-02,Earphones,25,450,11250
2025-12-02,Phone Case,20,180,3600
2025-12-02,Screen Guard,28,120,3360
2025-12-02,Power Bank,10,1200,12000
2025-12-03,Mobile Charger,20,250,5000
2025-12-03,Earphones,28,450,12600
2025-12-03,Phone Case,22,180,3960
2025-12-03,Screen Guard,30,120,3600
2025-12-03,Power Bank,12,1200,14400
2025-12-05,Mobile Charger,22,250,5500
2025-12-05,Earphones,30,450,13500
2025-12-05,Phone Case,25,180,4500
2025-12-05,Screen Guard,32,120,3840
2025-12-05,Power Bank,14,1200,16800
2025-12-08,Mobile Charger,25,250,6250
2025-12-08,Earphones,32,450,14400
2025-12-08,Phone Case,28,180,5040
2025-12-08,Screen Guard,35,120,4200
2025-12-08,Power Bank,16,1200,19200
2025-12-10,Mobile Charger,28,250,7000
2025-12-10,Earphones,35,450,15750
2025-12-10,Phone Case,30,180,5400
2025-12-10,Screen Guard,38,120,4560
2025-12-10,Power Bank,18,1200,21600
2025-12-15,Mobile Charger,30,250,7500
2025-12-15,Earphones,38,450,17100
2025-12-15,Phone Case,32,180,5760
2025-12-15,Screen Guard,40,120,4800
2025-12-15,Power Bank,20,1200,24000
2025-12-20,Mobile Charger,32,250,8000
2025-12-20,Earphones,40,450,18000
2025-12-20,Phone Case,35,180,6300
2025-12-20,Screen Guard,42,120,5040
2025-12-20,Power Bank,22,1200,26400
2025-12-25,Mobile Charger,35,250,8750
2025-12-25,Earphones,45,450,20250
2025-12-25,Phone Case,38,180,6840
2025-12-25,Screen Guard,45,120,5400
2025-12-25,Power Bank,25,1200,30000
2026-01-01,Mobile Charger,38,250,9500
2026-01-01,Earphones,48,450,21600
2026-01-01,Phone Case,40,180,7200
2026-01-01,Screen Guard,48,120,5760
2026-01-01,Power Bank,28,1200,33600
